date,interest_rate
2023-06-14,56.86
2023-06-15,56.86
2023-06-16,56.86
2023-06-17,56.86
2023-06-18,56.86
2023-06-19,56.86
2023-06-20,56.87
2023-06-21,56.89
2023-06-22,56.88
2023-06-23,56.86
2023-06-24,56.86
2023-06-25,56.86
2023-06-26,56.89
2023-06-27,56.89
2023-06-28,56.9
2023-06-29,56.91
2023-06-30,56.88
2023-07-01,56.88
2023-07-02,56.88
2023-07-03,56.88
2023-07-04,56.91
2023-07-05,56.91
2023-07-06,57.15
2023-07-07,57.11
2023-07-08,57.11
2023-07-09,57.11
2023-07-10,57.13
2023-07-11,57.13
2023-07-12,57.13
2023-07-13,57.11
2023-07-14,57.09
2023-07-15,57.09
2023-07-16,57.09
2023-07-17,57.38
2023-07-18,57.22
2023-07-19,57.23
2023-07-20,57.27
2023-07-21,57.26
2023-07-22,57.26
2023-07-23,57.26
2023-07-24,57.26
2023-07-25,57.29
2023-07-26,57.31
2023-07-27,57.32
2023-07-28,57.31
2023-07-29,57.31
2023-07-30,57.31
2023-07-31,57.48
2023-08-01,57.44
2023-08-02,57.31
2023-08-03,57.34
2023-08-04,57.34
2023-08-05,57.34
2023-08-06,57.34
2023-08-07,57.38
2023-08-08,57.39
2023-08-09,57.56
2023-08-10,57.57
2023-08-11,57.54
2023-08-12,57.54
2023-08-13,57.54
2023-08-14,57.54
2023-08-15,57.17
2023-08-16,57.19
2023-08-17,57.19
2023-08-18,57.22
2023-08-19,57.22
2023-08-20,57.22
2023-08-21,57.49
2023-08-22,57.25
2023-08-23,57.25
2023-08-24,57.26
2023-08-25,57.27
2023-08-26,57.27
2023-08-27,57.27
2023-08-28,57.3
2023-08-29,57.41
2023-08-30,56.48
2023-08-31,57.32
2023-09-01,57.33
2023-09-02,57.33
2023-09-03,57.33
2023-09-04,57.34
2023-09-05,57.19
2023-09-06,57.21
2023-09-07,57.21
2023-09-08,57.2
2023-09-09,57.2
2023-09-10,57.2
2023-09-11,57.2
2023-09-12,57.46
2023-09-13,57.36
2023-09-14,57.35
2023-09-15,57.34
2023-09-16,57.34
2023-09-17,57.34
2023-09-18,57.47
2023-09-19,57.21
2023-09-20,57.19
2023-09-21,57.18
2023-09-22,56.4
2023-09-23,56.4
2023-09-24,56.4
2023-09-25,57.15
2023-09-26,57.16
2023-09-27,57.15
2023-09-28,57.16
2023-09-29,57.16
2023-09-30,57.16
2023-10-01,57.16
2023-10-02,57.52
2023-10-03,57.0
2023-10-04,57.0
2023-10-05,57.0
2023-10-06,56.99
2023-10-07,56.99
2023-10-08,56.99
2023-10-09,57.4
2023-10-10,57.15
2023-10-11,57.16
2023-10-12,57.16
2023-10-13,57.16
2023-10-14,57.16
2023-10-15,57.16
2023-10-16,56.45
2023-10-17,57.18
2023-10-18,57.18
2023-10-19,57.21
2023-10-20,57.16
2023-10-21,57.16
2023-10-22,57.16
2023-10-23,57.4
2023-10-24,57.17
2023-10-25,57.16
2023-10-26,57.18
2023-10-27,57.17
2023-10-28,57.17
2023-10-29,57.17
2023-10-30,57.17
2023-10-31,57.2
2023-11-01,57.22
2023-11-02,57.05
2023-11-03,57.05
2023-11-04,57.05
2023-11-05,57.05
2023-11-06,57.05
2023-11-07,57.05
2023-11-08,57.06
2023-11-09,57.06
2023-11-10,57.25
2023-11-11,57.25
2023-11-12,57.25
2023-11-13,57.57
2023-11-14,57.24
2023-11-15,57.25
2023-11-16,57.26
2023-11-17,57.28
2023-11-18,57.28
2023-11-19,57.28
2023-11-20,57.37
2023-11-21,57.32
2023-11-22,57.52
2023-11-23,57.32
2023-11-24,57.32
2023-11-25,57.32
2023-11-26,57.32
2023-11-27,57.44
2023-11-28,57.59
2023-11-29,57.38
2023-11-30,57.39
2023-12-01,57.38
2023-12-02,57.38
2023-12-03,57.38
2023-12-04,57.48
2023-12-05,57.2
2023-12-06,57.34
2023-12-07,57.36
2023-12-08,57.49
2023-12-09,57.49
2023-12-10,57.49
2023-12-11,57.49
2023-12-12,57.44
2023-12-13,57.48
2023-12-14,57.74
2023-12-15,57.93
2023-12-16,57.93
2023-12-17,57.93
2023-12-18,58.02
2023-12-19,58.08
2023-12-20,58.1
2023-12-21,58.11
2023-12-22,58.12
2023-12-23,58.12
2023-12-24,58.12
2023-12-25,58.12
2023-12-26,58.2
2023-12-27,58.21
2023-12-28,58.22
2023-12-29,58.2
2023-12-30,58.2
2023-12-31,58.2
2024-01-01,58.2
2024-01-02,58.26
2024-01-03,58.26
2024-01-04,58.17
2024-01-05,58.17
2024-01-06,58.17
2024-01-07,58.17
2024-01-08,58.26
2024-01-09,58.3
2024-01-10,58.33
2024-01-11,58.41
2024-01-12,58.4
2024-01-13,58.4
2024-01-14,58.4
2024-01-15,58.58
2024-01-16,58.46
2024-01-17,58.47
2024-01-18,58.49
2024-01-19,58.5
2024-01-20,58.5
2024-01-21,58.5
2024-01-22,58.52
2024-01-23,58.61
2024-01-24,58.62
2024-01-25,58.63
2024-01-26,58.64
2024-01-27,58.64
2024-01-28,58.64
2024-01-29,58.81
2024-01-30,58.66
2024-01-31,58.66
2024-02-01,58.82
2024-02-02,58.68
2024-02-03,58.68
2024-02-04,58.68
2024-02-05,58.59
2024-02-06,58.43
2024-02-07,58.42
2024-02-08,58.4
2024-02-09,58.47
2024-02-10,58.47
2024-02-11,58.47
2024-02-12,58.47
2024-02-13,58.47
2024-02-14,58.59
2024-02-15,58.6
2024-02-16,58.6
2024-02-17,58.6
2024-02-18,58.6
2024-02-19,58.61
2024-02-20,58.62
2024-02-21,58.59
2024-02-22,58.59
2024-02-23,58.63
2024-02-24,58.63
2024-02-25,58.63
2024-02-26,58.67
2024-02-27,58.68
2024-02-28,58.65
2024-02-29,58.65
2024-03-01,58.64
2024-03-02,58.64
2024-03-03,58.64
2024-03-04,58.62
2024-03-05,58.63
2024-03-06,58.69
2024-03-07,58.78
2024-03-08,58.83
2024-03-09,58.83
2024-03-10,58.83
2024-03-11,58.73
2024-03-12,58.74
2024-03-13,58.76
2024-03-14,58.73
2024-03-15,58.76
2024-03-16,58.76
2024-03-17,58.76
2024-03-18,58.85
2024-03-19,58.85
2024-03-20,58.89
2024-03-21,58.77
2024-03-22,58.77
2024-03-23,58.77
2024-03-24,58.77
2024-03-25,58.78
2024-03-26,58.8
2024-03-27,58.81
2024-03-28,58.81
2024-03-29,58.81
2024-03-30,58.81
2024-03-31,58.81
2024-04-01,58.91
2024-04-02,58.83
2024-04-03,58.87
2024-04-04,58.78
2024-04-05,58.77
2024-04-06,58.77
2024-04-07,58.77
2024-04-08,58.79
2024-04-09,58.79
2024-04-10,58.79
2024-04-11,58.79
2024-04-12,58.78
2024-04-13,58.78
2024-04-14,58.78
2024-04-15,58.79
2024-04-16,58.78
2024-04-17,58.78
2024-04-18,58.77
2024-04-19,58.77
2024-04-20,58.77
2024-04-21,58.77
2024-04-22,58.76
2024-04-23,58.76
2024-04-24,58.79
2024-04-25,58.76
2024-04-26,58.8
2024-04-27,58.8
2024-04-28,58.8
2024-04-29,58.89
2024-04-30,58.82
2024-05-01,58.82
2024-05-02,58.79
2024-05-03,58.79
2024-05-04,58.79
2024-05-05,58.79
2024-05-06,58.87
2024-05-07,58.8
