date,interest_rate
2021-01-16,37.35
2021-01-17,37.35
2021-01-18,37.35
2021-01-19,37.36
2021-01-20,37.49
2021-01-21,37.56
2021-01-22,37.62
2021-01-23,37.62
2021-01-24,37.62
2021-01-25,37.71
2021-01-26,37.72
2021-01-27,37.77
2021-01-28,37.81
2021-01-29,37.86
2021-01-30,37.86
2021-01-31,37.86
2021-02-01,37.92
2021-02-02,37.91
2021-02-03,37.93
2021-02-04,37.92
2021-02-05,37.93
2021-02-06,37.93
2021-02-07,37.93
2021-02-08,37.94
2021-02-09,37.94
2021-02-10,37.93
2021-02-11,37.92
2021-02-12,37.94
2021-02-13,37.94
2021-02-14,37.94
2021-02-15,37.94
2021-02-16,37.94
2021-02-17,38.03
2021-02-18,38.06
2021-02-19,37.84
2021-02-20,37.84
2021-02-21,37.84
2021-02-22,50.19
2021-02-23,50.27
2021-02-24,50.27
2021-02-25,50.2
2021-02-26,53.06
2021-02-27,53.06
2021-02-28,53.06
2021-03-01,53.09150096445483
2021-03-02,53.00212568638875
2021-03-03,53.27876343843653
2021-03-04,53.21599441631987
2021-03-05,53.23755745843591
2021-03-06,53.23755745843591
2021-03-07,53.23755745843591
2021-03-08,53.33766825357589
2021-03-09,53.35043007640537
2021-03-10,53.30847647387518
2021-03-11,53.259273665441164
2021-03-12,53.72599580848527
2021-03-13,53.72599580848527
2021-03-14,53.72599580848527
2021-03-15,53.99296566978205
2021-03-16,54.01572493461189
2021-03-17,53.98503016828591
2021-03-18,53.68952243485828
2021-03-19,53.68952243485828
2021-03-20,53.68952243485828
2021-03-21,53.68952243485828
2021-03-22,53.8735331269908
2021-03-23,53.857376453932645
2021-03-24,53.927207334513625
2021-03-25,53.98200452582806
2021-03-26,53.99895318538144
2021-03-27,53.99895318538144
2021-03-28,53.99895318538144
2021-03-29,54.08563061408312
2021-03-30,53.9756410826528
2021-03-31,53.5809449092728
2021-04-01,53.5809449092728
2021-04-02,53.5809449092728
2021-04-03,53.5809449092728
2021-04-04,53.5809449092728
2021-04-05,53.69393169742772
2021-04-06,53.67308316305776
2021-04-07,53.678783002565034
2021-04-08,53.59419991623381
2021-04-09,53.47645397353396
2021-04-10,53.47645397353396
2021-04-11,53.47645397353396
2021-04-12,53.60473334926818
2021-04-13,53.65083197929592
2021-04-14,53.57854628055894
2021-04-15,53.73015119813945
2021-04-16,53.15747260052221
2021-04-17,53.15747260052221
2021-04-18,53.15747260052221
2021-04-19,53.15747260052221
2021-04-20,53.22349840518678
2021-04-21,53.26796627316662
2021-04-22,53.279034976642656
2021-04-23,53.26872019481064
2021-04-24,53.26872019481064
2021-04-25,53.26872019481064
2021-04-26,53.3036212048188
2021-04-27,53.30898024806982
2021-04-28,53.343873327086165
2021-04-29,53.34136678269453
2021-04-30,53.34135047576537
2021-05-01,53.34135047576537
2021-05-02,53.34135047576537
2021-05-03,53.44030015205484
2021-05-04,53.430925238993204
2021-05-05,53.39713452270092
2021-05-06,53.47142979856275
2021-05-07,53.48007664657067
2021-05-08,53.48007664657067
